date,price,il,regime
2024-02-13,2642.185302734375,0.0,
2024-02-14,2777.90234375,-0.0003135409284381607,
2024-02-15,2824.37890625,-0.0005555562050754137,
2024-02-16,2803.69140625,-0.0004398532414554568,
2024-02-17,2786.672607421875,-0.0003542332806837356,
2024-02-18,2878.998046875,-0.000920270893116526,
2024-02-19,2943.57470703125,-0.0014567259571711677,
2024-02-20,3013.503662109375,-0.0021575485342643086,
2024-02-21,2970.35546875,-0.0017108851353277998,
2024-02-22,2971.00732421875,-0.0017172952477005898,
2024-02-23,2921.658203125,-0.0012623325907036298,
2024-02-24,2992.385986328125,-0.001933313324059438,
2024-02-25,3112.697265625,-0.0033478500498775876,
2024-02-26,3178.99365234375,-0.004261013224251542,
2024-02-27,3244.519287109375,-0.005248575707383241,
2024-02-28,3385.703857421875,-0.007636326540498173,
2024-02-29,3341.919677734375,-0.006860096537928184,
2024-03-01,3435.053955078125,-0.008547119788644308,
2024-03-02,3422.0498046875,-0.008303536366004116,
2024-03-03,3490.99365234375,-0.009623048585850613,
2024-03-04,3630.433837890625,-0.012488922272943292,
2024-03-05,3554.964599609375,-0.010906675690497858,
2024-03-06,3819.226318359375,-0.016731965652826197,
2024-03-07,3874.34765625,-0.0180387952693275,
2024-03-08,3892.06103515625,-0.018464639747916567,
2024-03-09,3915.4189453125,-0.019030403376996463,
2024-03-10,3881.193115234375,-0.01820303422062619,
2024-03-11,4066.445068359375,-0.022796029482602287,
2024-03-12,3980.273193359375,-0.020625420048987597,
2024-03-13,4006.45703125,-0.021279001994719104,
2024-03-14,3883.140380859375,-0.018249830370489772,Low
2024-03-15,3735.22021484375,-0.014797048214208464,Low
2024-03-16,3522.860107421875,-0.010255605199209206,Low
2024-03-17,3642.4130859375,-0.012746457083194995,Low
2024-03-18,3517.985107421875,-0.010157939663003268,Low
2024-03-19,3157.6181640625,-0.0039568330199672985,Medium
2024-03-20,3513.39306640625,-0.010066236352457514,High
2024-03-21,3492.9912109375,-0.009662290674900209,High
2024-03-22,3333.68798828125,-0.006717631182427963,High
2024-03-23,3336.593994140625,-0.006767797520041197,High
2024-03-24,3454.636474609375,-0.00891863790530123,High
2024-03-25,3590.8837890625,-0.011650911378247919,High
2024-03-26,3587.5048828125,-0.011580207236814077,High
2024-03-27,3500.115234375,-0.009802692530219037,High
2024-03-28,3561.2939453125,-0.011036623971904969,High
2024-03-29,3511.80615234375,-0.0100346120506839,High
2024-03-30,3507.9443359375,-0.009957796247880846,High
2024-03-31,3647.8564453125,-0.012864038701175362,High
2024-04-01,3505.030029296875,-0.009899962229011683,High
2024-04-02,3277.234619140625,-0.005771406539922808,High
2024-04-03,3311.44189453125,-0.006338267567253308,High
2024-04-04,3330.04052734375,-0.006654863266356892,High
2024-04-05,3318.88525390625,-0.00646427379400194,Medium
2024-04-06,3354.183837890625,-0.007074412774327965,Medium
2024-04-07,3453.49462890625,-0.008896821154659396,High
2024-04-08,3695.292724609375,-0.013903110760602022,High
2024-04-09,3505.163330078125,-0.009902605028747291,High
2024-04-10,3543.737060546875,-0.0106774412700954,High
2024-04-11,3505.247802734375,-0.009904279895949553,High
2024-04-12,3243.034912109375,-0.005225312657460179,High
2024-04-13,3004.900390625,-0.002064909925916125,High
2024-04-14,3156.94189453125,-0.003947358524698741,High
2024-04-15,3101.600341796875,-0.003203909574182595,High
2024-04-16,3084.920166015625,-0.0029925222681812524,High
2024-04-17,2984.7275390625,-0.0018546450440019013,High
2024-04-18,3066.027587890625,-0.0027604385322951286,High
2024-04-19,3059.278564453125,-0.002679451032336466,Medium
2024-04-20,3157.627197265625,-0.003956959636954083,Medium
2024-04-21,3147.28857421875,-0.003813124360906861,Medium
