alpha,phi_star
0.1,0.0024372084576923013
0.12000000000000001,0.0028596579236923004
0.14,0.0032604433145128116
0.16,0.0036395646301538363
0.18,0.003997021870615374
0.2,0.004332815035897425
0.22,0.004646944125999988
0.24000000000000002,0.004939409140923064
0.26,0.005210210080666653
0.28,0.005459346945230754
0.30000000000000004,0.00568681973461537
0.32,0.005892628448820497
0.33999999999999997,0.006076773087846137
0.36,0.006239253651692291
0.38,0.006380070140358958
0.4,0.006499222553846136
0.42000000000000004,0.0065967108921538295
0.44000000000000006,0.006672535155282034
0.45999999999999996,0.006726695343230752
0.48,0.006759191455999983
0.5,0.006770023493589726
0.52,0.006759191455999983
0.54,0.006726695343230752
0.56,0.006672535155282033
0.58,0.0065967108921538295
0.6,0.006499222553846136
0.62,0.006380070140358958
0.64,0.006239253651692291
0.66,0.006076773087846137
0.6799999999999999,0.005892628448820498
0.7,0.00568681973461537
0.72,0.005459346945230754
0.74,0.005210210080666653
0.76,0.004939409140923064
0.78,0.0046469441259999866
0.8,0.004332815035897423
0.82,0.003997021870615376
0.84,0.003639564630153837
0.86,0.0032604433145128116
0.88,0.0028596579236923004
0.9,0.002437208457692301
